subject,labels(n),r,r-type,object
"{""uri"":bnode://node1f07tfve2x1338}","[Resource,owl__Class]",{},owl__unionOf,"{""uri"":bnode://node1f07tfve2x1339}"
"{""n4sch__name"":CaperTopping,""skos__prefLabel"":Caper,""rdfs__label"":CoberturaDeCaper,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#CaperTopping,""n4sch__label"":CoberturaDeCaper}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1339}"
"{""uri"":bnode://node1f07tfve2x1340}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1339}"
"{""uri"":bnode://node1f07tfve2x1218}","[Resource,owl__Class]",{},owl__allValuesFrom,"{""uri"":bnode://node1f07tfve2x1217}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1217}"
"{""skos__prefLabel"":Rosa,""n4sch__label"":Rosa,""skos__altLabel"":Rosa Pizza,""n4sch__name"":Rosa,""rdfs__label"":Rosa,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Rosa}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1217}"
"{""uri"":bnode://node1f07tfve2x1337}","[Resource,owl__Restriction]",{},owl__allValuesFrom,"{""uri"":bnode://node1f07tfve2x1338}"
"{""uri"":bnode://node1f07tfve2x1339}",[Resource],{},owl__unionOf,"{""uri"":bnode://node1f07tfve2x1338}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1216}"
"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1216}"
"{""skos__prefLabel"":Rosa,""n4sch__label"":Rosa,""skos__altLabel"":Rosa Pizza,""n4sch__name"":Rosa,""rdfs__label"":Rosa,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Rosa}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1216}"
"{""uri"":bnode://node1f07tfve2x1338}","[Resource,owl__Class]",{},owl__allValuesFrom,"{""uri"":bnode://node1f07tfve2x1337}"
"{""skos__prefLabel"":Veneziana,""n4sch__label"":Veneziana,""skos__altLabel"":Veneziana Pizza,""n4sch__name"":Veneziana,""rdfs__label"":Veneziana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Veneziana}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1337}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1337}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1215}"
"{""skos__prefLabel"":Rosa,""n4sch__label"":Rosa,""skos__altLabel"":Rosa Pizza,""n4sch__name"":Rosa,""rdfs__label"":Rosa,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Rosa}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1215}"
"{""n4sch__name"":MozzarellaTopping,""skos__prefLabel"":Mozzarella,""rdfs__label"":MozzarellaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping,""n4sch__label"":MozzarellaTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1215}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1336}"
"{""skos__prefLabel"":Veneziana,""n4sch__label"":Veneziana,""skos__altLabel"":Veneziana Pizza,""n4sch__name"":Veneziana,""rdfs__label"":Veneziana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Veneziana}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1336}"
"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1336}"
"{""uri"":bnode://node1f07tfve2x1220}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1219}"
"{""uri"":bnode://node1f07tfve2x1218}","[Resource,owl__Class]",{},owl__unionOf,"{""uri"":bnode://node1f07tfve2x1219}"
"{""n4sch__name"":GorgonzolaTopping,""skos__prefLabel"":Gorgonzola,""rdfs__label"":GorgonzolaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#GorgonzolaTopping,""n4sch__label"":GorgonzolaTopping}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1219}"
"{""uri"":bnode://node1f07tfve2x1110}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1111}"
"{""uri"":bnode://node1f07tfve2x1112}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1111}"
"{""n4sch__name"":MushroomTopping,""skos__prefLabel"":Mushroom,""rdfs__label"":MushroomTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#MushroomTopping,""n4sch__label"":MushroomTopping}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1111}"
"{""uri"":bnode://node1f07tfve2x1231}","[Resource,owl__Class]",{},owl__unionOf,"{""uri"":bnode://node1f07tfve2x1232}"
"{""uri"":bnode://node1f07tfve2x1233}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1232}"
"{""n4sch__name"":AnchoviesTopping,""skos__prefLabel"":Anchovies,""rdfs__label"":CoberturaDeAnchovies,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#AnchoviesTopping,""n4sch__label"":CoberturaDeAnchovies}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1232}"
"{""uri"":bnode://node1f07tfve2x1354}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1353}"
"{""skos__prefLabel"":Fiorentina,""n4sch__label"":Fiorentina,""skos__altLabel"":Fiorentina Pizza,""n4sch__name"":Fiorentina,""rdfs__label"":Fiorentina,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Fiorentina}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1353}"
"{""uri"":bnode://node1f07tfve2x1352}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1353}"
"{""uri"":bnode://node1f07tfve2x1111}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1110}"
"{""n4sch__name"":MozzarellaTopping,""skos__prefLabel"":Mozzarella,""rdfs__label"":MozzarellaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping,""n4sch__label"":MozzarellaTopping}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1110}"
"{""uri"":bnode://node1f07tfve2x1109}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1110}"
"{""uri"":bnode://node1f07tfve2x1232}",[Resource],{},owl__unionOf,"{""uri"":bnode://node1f07tfve2x1231}"
"{""uri"":bnode://node1f07tfve2x1230}","[Resource,owl__Restriction]",{},owl__allValuesFrom,"{""uri"":bnode://node1f07tfve2x1231}"
"{""skos__prefLabel"":Caprina,""n4sch__label"":Caprina,""skos__altLabel"":Caprina Pizza,""n4sch__name"":Caprina,""rdfs__label"":Caprina,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Caprina}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1352}"
"{""uri"":bnode://node1f07tfve2x1351}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1352}"
"{""uri"":bnode://node1f07tfve2x1353}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1352}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1230}"
"{""uri"":bnode://node1f07tfve2x1231}","[Resource,owl__Class]",{},owl__allValuesFrom,"{""uri"":bnode://node1f07tfve2x1230}"
"{""skos__prefLabel"":Siciliana,""n4sch__label"":Siciliana,""skos__altLabel"":Siciliana Pizza,""n4sch__name"":Siciliana,""rdfs__label"":Siciliana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1230}"
"{""skos__prefLabel"":Capricciosa,""n4sch__label"":Capricciosa,""skos__altLabel"":Capricciosa Pizza,""n4sch__name"":Capricciosa,""rdfs__label"":Capricciosa,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Capricciosa}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1351}"
"{""uri"":bnode://node1f07tfve2x1350}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1351}"
"{""uri"":bnode://node1f07tfve2x1352}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1351}"
"{""uri"":bnode://node1f07tfve2x1351}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1350}"
"{""skos__prefLabel"":Cajun,""n4sch__label"":Cajun,""skos__altLabel"":Cajun Pizza,""n4sch__name"":Cajun,""rdfs__label"":Cajun,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Cajun}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1350}"
"{""uri"":bnode://node1f07tfve2x1349}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1350}"
"{""skos__prefLabel"":Margherita,""n4sch__label"":Margherita,""skos__altLabel"":Margherita Pizza,""n4sch__name"":Margherita,""rdfs__label"":Margherita,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Margherita}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1115}"
"{""n4sch__name"":MozzarellaTopping,""skos__prefLabel"":Mozzarella,""rdfs__label"":MozzarellaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping,""n4sch__label"":MozzarellaTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1115}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1115}"
"{""n4sch__name"":MozzarellaTopping,""skos__prefLabel"":Mozzarella,""rdfs__label"":MozzarellaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping,""n4sch__label"":MozzarellaTopping}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1236}"
"{""uri"":bnode://node1f07tfve2x1235}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1236}"
"{""uri"":bnode://node1f07tfve2x1237}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1236}"
"{""uri"":bnode://node1f07tfve2x1358}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1357}"
"{""skos__prefLabel"":La Reine,""n4sch__label"":LaReine,""skos__altLabel"":La Reine Pizza,""n4sch__name"":LaReine,""rdfs__label"":LaReine,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LaReine}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1357}"
"{""uri"":bnode://node1f07tfve2x1356}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1357}"
"{""n4sch__name"":Mild,""skos__prefLabel"":Mild,""rdfs__label"":NaoPicante,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Mild,""n4sch__label"":NaoPicante}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1114}"
"{""n4sch__name"":LeekTopping,""skos__prefLabel"":Leek,""rdfs__label"":LeekTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping,""n4sch__label"":LeekTopping}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1114}"
"{""n4sch__name"":hasSpiciness,""n4sch__comment"":A property created to be used with the ValuePartition - Spiciness.,""rdfs__comment"":A property created to be used with the ValuePartition - Spiciness.,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasSpiciness}","[Resource,owl__FunctionalProperty,owl__ObjectProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1114}"
"{""uri"":bnode://node1f07tfve2x1234}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1235}"
"{""n4sch__name"":HamTopping,""skos__prefLabel"":Ham,""rdfs__label"":HamTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#HamTopping,""n4sch__label"":HamTopping}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1235}"
"{""uri"":bnode://node1f07tfve2x1236}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1235}"
"{""uri"":bnode://node1f07tfve2x1355}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1356}"
"{""skos__prefLabel"":Giardiniera,""n4sch__label"":Giardiniera,""skos__altLabel"":Giardiniera Pizza,""n4sch__name"":Giardiniera,""rdfs__label"":Giardiniera,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Giardiniera}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1356}"
"{""uri"":bnode://node1f07tfve2x1357}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1356}"
"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1113}"
"{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#nil}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1113}"
"{""uri"":bnode://node1f07tfve2x1112}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1113}"
"{""uri"":bnode://node1f07tfve2x1233}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1234}"
"{""uri"":bnode://node1f07tfve2x1235}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1234}"
"{""n4sch__name"":GarlicTopping,""skos__prefLabel"":Garlic,""rdfs__label"":GarlicTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#GarlicTopping,""n4sch__label"":GarlicTopping}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1234}"
"{""uri"":bnode://node1f07tfve2x1356}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1355}"
"{""uri"":bnode://node1f07tfve2x1354}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1355}"
"{""skos__prefLabel"":Frutti Di Mare,""n4sch__label"":FruttiDiMare,""skos__altLabel"":Frutti Di Mare Pizza,""n4sch__name"":FruttiDiMare,""rdfs__label"":FruttiDiMare,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1355}"
"{""uri"":bnode://node1f07tfve2x1111}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1112}"
"{""n4sch__name"":OliveTopping,""skos__prefLabel"":Olive,""rdfs__label"":OliveTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#OliveTopping,""n4sch__label"":OliveTopping}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1112}"
"{""uri"":bnode://node1f07tfve2x1113}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1112}"
"{""uri"":bnode://node1f07tfve2x1234}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1233}"
"{""uri"":bnode://node1f07tfve2x1232}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1233}"
"{""n4sch__name"":ArtichokeTopping,""skos__prefLabel"":Artichoke,""rdfs__label"":CoberturaDeArtichoke,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#ArtichokeTopping,""n4sch__label"":CoberturaDeArtichoke}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1233}"
"{""uri"":bnode://node1f07tfve2x1353}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1354}"
"{""skos__prefLabel"":Four Seasons,""n4sch__label"":QuatroQueijos,""skos__altLabel"":Four Seasons Pizza,""n4sch__name"":FourSeasons,""rdfs__label"":QuatroQueijos,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#FourSeasons}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1354}"
"{""uri"":bnode://node1f07tfve2x1355}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1354}"
"{""uri"":bnode://node1f07tfve2x1107}","[Resource,owl__Restriction]",{},owl__allValuesFrom,"{""uri"":bnode://node1f07tfve2x1108}"
"{""uri"":bnode://node1f07tfve2x1109}",[Resource],{},owl__unionOf,"{""uri"":bnode://node1f07tfve2x1108}"
"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1229}"
"{""skos__prefLabel"":Siciliana,""n4sch__label"":Siciliana,""skos__altLabel"":Siciliana Pizza,""n4sch__name"":Siciliana,""rdfs__label"":Siciliana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1229}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1229}"
"{""skos__prefLabel"":La Reine,""n4sch__label"":LaReine,""skos__altLabel"":La Reine Pizza,""n4sch__name"":LaReine,""rdfs__label"":LaReine,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LaReine}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1107}"
"{""uri"":bnode://node1f07tfve2x1108}","[Resource,owl__Class]",{},owl__allValuesFrom,"{""uri"":bnode://node1f07tfve2x1107}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1107}"
"{""skos__prefLabel"":Siciliana,""n4sch__label"":Siciliana,""skos__altLabel"":Siciliana Pizza,""n4sch__name"":Siciliana,""rdfs__label"":Siciliana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1228}"
"{""n4sch__name"":OliveTopping,""skos__prefLabel"":Olive,""rdfs__label"":OliveTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#OliveTopping,""n4sch__label"":OliveTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1228}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1228}"
"{""uri"":bnode://node1f07tfve2x1350}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1349}"
"{""uri"":bnode://node1f07tfve2x1348}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1349}"
"{""skos__prefLabel"":American Hot,""n4sch__label"":AmericanaPicante,""skos__altLabel"":American Hot Pizza,""n4sch__name"":AmericanHot,""rdfs__label"":AmericanaPicante,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1349}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1106}"
"{""n4sch__name"":TomatoTopping,""skos__prefLabel"":Tomato,""rdfs__label"":TomatoTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping,""n4sch__label"":TomatoTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1106}"
"{""skos__prefLabel"":La Reine,""n4sch__label"":LaReine,""skos__altLabel"":La Reine Pizza,""n4sch__name"":LaReine,""rdfs__label"":LaReine,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#LaReine}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1106}"
"{""n4sch__name"":MozzarellaTopping,""skos__prefLabel"":Mozzarella,""rdfs__label"":MozzarellaTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping,""n4sch__label"":MozzarellaTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1227}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1227}"
"{""skos__prefLabel"":Siciliana,""n4sch__label"":Siciliana,""skos__altLabel"":Siciliana Pizza,""n4sch__name"":Siciliana,""rdfs__label"":Siciliana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana}","[Resource,owl__Class,n4sch__Class]",{},rdfs__subClassOf,"{""uri"":bnode://node1f07tfve2x1227}"
"{""uri"":bnode://node1f07tfve2x1347}","[Resource,owl__AllDisjointClasses]",{},owl__members,"{""uri"":bnode://node1f07tfve2x1348}"
"{""skos__prefLabel"":American,""n4sch__label"":Americana,""skos__altLabel"":American Pizza,""n4sch__name"":American,""rdfs__label"":Americana,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#American}","[Resource,owl__Class,n4sch__Class]",{},rdf__first,"{""uri"":bnode://node1f07tfve2x1348}"
"{""uri"":bnode://node1f07tfve2x1349}",[Resource],{},rdf__rest,"{""uri"":bnode://node1f07tfve2x1348}"
"{""n4sch__name"":hasTopping,""n4sch__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""rdfs__comment"":Note that hasTopping is inverse functional because isToppingOf is functional,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping}","[Resource,owl__ObjectProperty,owl__InverseFunctionalProperty,n4sch__Relationship]",{},owl__onProperty,"{""uri"":bnode://node1f07tfve2x1105}"
"{""n4sch__name"":OliveTopping,""skos__prefLabel"":Olive,""rdfs__label"":OliveTopping,""uri"":http://www.co-ode.org/ontologies/pizza/pizza.owl#OliveTopping,""n4sch__label"":OliveTopping}","[Resource,owl__Class,n4sch__Class]",{},owl__someValuesFrom,"{""uri"":bnode://node1f07tfve2x1105}"
